公司名称,赛道
京东方科技集团股份有限公司,半导体
深圳市江波龙电子股份有限公司,半导体
华为投资控股有限公司,电信、通讯和计算机软硬件
腾讯科技（深圳）有限公司,电信、通讯和计算机软硬件
联想集团,电信、通讯和计算机软硬件
中兴通讯股份有限公司,电信、通讯和计算机软硬件
武汉光迅科技股份有限公司,电信、通讯和计算机软硬件
阿里巴巴集团控股有限公司,电子商务及生活服务
北京字节跳动科技有限公司,电子商务及生活服务
京东集团股份有限公司,电子商务及生活服务
赤子城科技有限公司,电子商务及生活服务
比亚迪股份有限公司,高端制造
小米集团,高端制造
工业富联,高端制造
苏州迈为科技股份有限公司,高端制造
蓝思科技股份有限公司,高端制造
小鹏汽车科技有限公司,高端制造
海尔智家股份有限公司,高端制造
海克斯康制造智能技术（青岛）有限公司,高端制造
TCL科技集团股份有限公司,高端制造
浙江时空道宇科技有限公司,高端制造
无锡先导智能装备股份有限公司,高端制造
华勤技术股份有限公司,高端制造
重庆摩方精密科技股份有限公司,高端制造
深圳市优必选科技股份有限公司,高端制造
东方空间（山东）科技有限公司,高端制造
国仪量子技术（合肥）股份有限公司,高端制造
百度,人工智能
北京月之暗面科技有限公司,人工智能
科大讯飞股份有限公司,人工智能
小马智行,人工智能
北京海天瑞声科技股份有限公司,人工智能
江苏恒瑞医药股份有限公司,生命健康
上海联影医疗科技股份有限公司,生命健康
药明合联生物技术有限公司,生命健康
深圳市朗坤环境集团股份有限公司,生命健康
恒生电子股份有限公司,数字经济
浪潮集团有限公司,数字经济
神州数码信息服务集团股份有限公司,数字经济
深圳云天畅想信息科技有限公司,数字经济
宁德时代新能源科技股份有限公司,新能源及新材料
晶科能源股份有限公司,新能源及新材料
隆基绿能科技股份有限公司,新能源及新材料
阳光电源股份有限公司,新能源及新材料
万华化学集团股份有限公司,新能源及新材料
金风科技股份有限公司,新能源及新材料
欣旺达动力科技股份有限公司,新能源及新材料
永荣控股集团有限公司,新能源及新材料
云南恩捷新材料股份有限公司,新能源及新材料
上海重塑能源集团股份有限公司,新能源及新材料
