序号,企业简称,企业全称
1,阿里云,阿里云计算有限公司
2,爱诗科技,北京爱诗科技有限公司
3,爱芯元智,爱芯元智半导体股份有限公司
4,百川智能,北京百川智能科技有限公司
5,百度智能云,百度在线网络技术（北京）有限公司
6,冰鉴科技,上海冰鉴信息科技有限公司
7,出门问问,出门问问创新科技有限公司
8,创新奇智,青岛创新奇智科技集团股份有限公司
9,达观数据,达观数据有限公司
10,达闼机器人,达闼机器人股份有限公司
11,滴普科技,北京滴普科技有限公司
12,第四范式,第四范式（北京）技术有限公司
13,东方财富,东方财富信息股份有限公司
14,非夕科技,上海非夕机器人科技有限公司
15,海天瑞声,北京海天瑞声科技股份有限公司
16,合合信息,上海合合信息科技股份有限公司
17,华院计算,华院计算技术（上海）股份有限公司
18,京东科技,上海京东智联信息技术有限公司
19,科大讯飞,科大讯飞股份有限公司
20,联影智能,上海联影智能医疗科技有限公司
21,潞晨科技,北京潞晨科技有限公司
22,梅卡曼德,梅卡曼德（北京）机器人科技有限公司
23,Momenta,北京初速度科技有限公司
24,平安科技,平安科技（深圳）有限公司
25,擎朗智能,上海擎朗智能科技有限公司
26,森亿智能,上海森亿医疗科技有限公司
27,杉数科技,杉数科技（北京）有限公司
28,商汤科技,商汤集团股份有限公司
29,深势科技,北京深势科技有限公司
30,声通科技,上海声通信息科技股份有限公司
31,思谋科技,深圳思谋信息科技有限公司
32,腾讯云智能,深圳市腾讯计算机系统有限公司
33,微亿智造,常州微亿智造科技有限公司
34,文远知行 WeRide,广州文远知行科技有限公司
35,小i机器人,上海智臻智能网络科技股份有限公司
36,小马智行,北京小马智行科技有限公司
37,芯驰科技,北京芯驰半导体科技股份有限公司
38,星环科技,星环信息科技（上海）股份有限公司
39,复星杏脉,上海杏脉信息科技有限公司
40,影谱科技,北京影谱科技股份有限公司
41,英矽智能,英矽智能科技（上海）有限公司
42,优刻得,优刻得科技股份有限公司
43,宇树科技,杭州宇树科技有限公司
44,月之暗面,北京月之暗面科技有限公司
45,云从科技,云从科技集团股份有限公司
46,云趣科技,广州云趣信息科技有限公司
47,云天励飞,深圳云天励飞技术股份有限公司
48,云知声,云知声智能科技股份有限公司
49,智谱清言,北京智谱华章科技有限公司
50,中科闻歌,北京中科闻歌科技股份有限公司
