date,name,category,value
2024/1/1,国家电网,,3863888.837
2024/1/1,中国石油化工,,3041156.657
2024/1/1,中国石油天然气,,2984635.833
2024/1/1,中国建筑,,2267814.821
2024/1/1,中国工商银行,,1574609.677
2024/1/1,中国建设银行,,1414249.24
2024/1/1,鸿海精密工业,,1400447.602
2024/1/1,中国农业银行,,1361679.728
2024/1/1,中国铁路工程集团,,1263761.068
2024/1/1,中国银行,,1219631.356
2024/1/1,中国铁道建筑集团,,1138381.389
2024/1/1,中国宝武钢铁集团,,1112682.642
2024/1/1,京东集团,,1084380.827
2024/1/1,中国平安保险（集团）,,1031595.454
2024/1/1,中国中化控股有限责任公司,,1013766.776
2024/1/1,中国移动通信集团,,1010882.028
2024/1/1,中国海洋石油集团,,1003092.641
2024/1/1,中国人寿保险（集团）公司,,988117.5707
2024/1/1,中国交通建设集�?Financial Services,,0
2024/1/1,中国五矿集团,,934356.2248
2024/1/1,阿里巴巴集团控股,,929530.8535
2024/1/1,中国中信集团,,928854.254
2024/1/1,中国华润,,892952.0193
2024/1/1,山东能源集团,,866154.8597
2024/1/1,中国南方电网有限责任公司,,840890.6649
2024/1/1,恒力集团,,811526.5323
2024/1/1,中国邮政集团,,798178.5559
2024/1/1,国家能源投资集团有限责任公司,,793013.4694
2024/1/1,厦门建发集团,,783224.7174
2024/1/1,上海汽车集团,,744512.0472
2024/1/1,华为投资控股,,703991.1012
2024/1/1,中粮集团,,691922.7187
2024/1/1,中国电力建设集团,,686754.8013
2024/1/1,中国医药集团,,679941.3883
2024/1/1,中国第一汽车集团,,633321.139
2024/1/1,中国电信集团,,622538.7201
2024/1/1,浙江荣盛控股集团,,612447.0554
2024/1/1,腾讯控股,,608856.6904
2024/1/1,厦门国贸控股集团,,607373.9751
2024/1/1,比亚�?Retail,,0
2024/1/1,中国航空工业集团,,584976.1273
2024/1/1,物产中大集团,,580009.9158
2024/1/1,交通银�?Technology,,0
2024/1/1,江西铜业集团,,553758.4237
2024/1/1,中国人民保险集团,,553323.1636
2024/1/1,中国兵器工业集团,,541469.9341
2024/1/1,太平洋建设集�?Media,,0
2024/1/1,陕西煤业化工集团有限责任公司,,529224.6166
2024/1/1,盛虹控股集团,,528687.4419
2024/1/1,中国保利集团,,523716.9839
2024/1/1,山东魏桥创业集团,,520078.4926
2024/1/1,招商银行,,506137.43
2024/1/1,广州汽车工业集团,,505227.9841
2024/1/1,浙江吉利控股集团,,497943.2163
2024/1/1,台积公司,,491283.3829
2024/1/1,厦门象屿集团,,490371.1061
2024/1/1,北京汽车集团,,480217.1603
2024/1/1,万科企业,,465617.8996
2024/1/1,晋能控股集团,,450404.3205
2024/1/1,中国铝业集团,,450090.084
2024/1/1,兴业银行,,418644.488
2024/1/1,中国华能集团,,409716.3479
2024/1/1,中国能源建设集团,,408423.3069
2024/1/1,东风汽车集团,,407629.2227
2024/1/1,浙江恒逸集�?Media,,0
2024/1/1,联想集团,,402447.8581
2024/1/1,河钢集团,,401488.8704
2024/1/1,宁德时代新能源科技,,400812.9787
2024/1/1,中国电子科技集团,,396927.4861
2024/1/1,国家电力投资集团,,385609.308
2024/1/1,青山控股集团,,382038.052
2024/1/1,中国远洋海运集团,,381681.351
2024/1/1,美的集团,,373613.115
2024/1/1,中国联合网络通信,,372499.84
2024/1/1,陕西延长石油（集团）有限责任公司,,364669.4047
2024/1/1,绿地控股集团,,360218.4278
2024/1/1,上海浦东发展银行,,359988.4123
2024/1/1,金川集团,,353167.2142
2024/1/1,中国建材集团,,347421.0731
2024/1/1,中国船舶集团,,346014.086
2024/1/1,敬业集团,,340564.488
2024/1/1,中国机械工业集团,,328973.1223
2024/1/1,浙江省交通投资集�?Automotive,,0
2024/1/1,中国太平洋保险（集团�?Restaurants,,0
2024/1/1,中国华电集团,,322263.0393
2024/1/1,苏商建设集团,,320361.342
2024/1/1,中国兵器装备集团公司,,316998.1615
2024/1/1,中国民生银行,,308246.2486
2024/1/1,上海建工集团,,304548.3071
2024/1/1,广州市建筑集�?Electronics,,0
2024/1/1,紫金矿业集团,,293327.0894
2024/1/1,深圳市投资控�?Financial Services,,0
2024/1/1,鞍钢集团,,287941.188
2024/1/1,和硕联合科技,,285621.2163
2024/1/1,新希望控股集�?Electronics,,0
2024/1/1,中国核工业集�?Automotive,,0
2024/1/1,泰康保险集团,,278931.6578
2024/1/1,江苏沙钢集团,,277726.3766
2024/1/1,美团公司,,276673.2595
2024/1/1,奇瑞控股集团,,276667.5976
2024/1/1,广州工业投资控股集团,,271384.3185
2024/1/1,小米集团,,270900.2243
2024/1/1,杭州市实业投资集�?Pharmaceuticals,,0
2024/1/1,海尔智家,,261359.8891
2024/1/1,杭州钢铁集团,,260252.276
2024/1/1,上海医药集团,,260227.5051
2024/1/1,山东高速集�?Electronics,,0
2024/1/1,广东省广新控股集�?Financial Services,,0
2024/1/1,顺丰控股,,258342.0858
2024/1/1,广州医药集团,,256978.9785
2024/1/1,中国大唐集团,,256671.8194
2024/1/1,怡和集团,,255133.1926
2024/1/1,海亮集团,,252675.9193
